jornada,homeTeam_fullName,homeTeam_abbName,awayeam_fullName,awayTeam_abbName
11,Barça,BAR,Joventut Badalona,JOV
11,UCAM Murcia,UCM,Valencia Basket,VBC
11,Casademont Zaragoza,CAZ,MoraBanc Andorra,MBA
11,Unicaja,UNI,Baskonia,BKN
12,Baskonia,BKN,Recoletas Salud San Pablo Burgos,BUR
12,Casademont Zaragoza,CAZ,BAXI Manresa,BAX
12,Coviran Granada,COV,UCAM Murcia,UCM
12,Joventut Badalona,JOV,Río Breogán,BRE
12,Bàsquet Girona,GIR,Hiopos Lleida,HIO
12,La Laguna Tenerife,LLT,Dreamland Gran Canaria,DGC
12,Surne Bilbao Basket,SBB,Barça,BAR
12,Valencia Basket,VBC,MoraBanc Andorra,MBA
12,Real Madrid,RMB,Unicaja,UNI
13,Río Breogán,BRE,Baskonia,BKN
13,Recoletas Salud San Pablo Burgos,BUR,Dreamland Gran Canaria,DGC
13,Unicaja,UNI,Joventut Badalona,JOV
13,La Laguna Tenerife,LLT,Coviran Granada,COV
13,UCAM Murcia,UCM,Real Madrid,RMB
13,Surne Bilbao Basket,SBB,Valencia Basket,VBC
13,BAXI Manresa,BAX,Bàsquet Girona,GIR
13,MoraBanc Andorra,MBA,Hiopos Lleida,HIO
13,Barça,BAR,Casademont Zaragoza,CAZ
14,Río Breogán,BRE,Unicaja,UNI
14,Coviran Granada,COV,Recoletas Salud San Pablo Burgos,BUR
14,Dreamland Gran Canaria,DGC,UCAM Murcia,UCM
14,Joventut Badalona,JOV,La Laguna Tenerife,LLT
14,Real Madrid,RMB,Barça,BAR
14,Hiopos Lleida,HIO,Casademont Zaragoza,CAZ
14,Baskonia,BKN,MoraBanc Andorra,MBA
14,Bàsquet Girona,GIR,Surne Bilbao Basket,SBB
14,Valencia Basket,VBC,BAXI Manresa,BAX
15,Casademont Zaragoza,CAZ,Dreamland Gran Canaria,DGC
15,Surne Bilbao Basket,SBB,UCAM Murcia,UCM
15,La Laguna Tenerife,LLT,Hiopos Lleida,HIO
15,BAXI Manresa,BAX,Río Breogán,BRE
15,Recoletas Salud San Pablo Burgos,BUR,Joventut Badalona,JOV
15,Valencia Basket,VBC,Unicaja,UNI
15,Barça,BAR,Coviran Granada,COV
15,Bàsquet Girona,GIR,Baskonia,BKN
15,MoraBanc Andorra,MBA,Real Madrid,RMB
16,Unicaja,UNI,Coviran Granada,COV
16,MoraBanc Andorra,MBA,Río Breogán,BRE
16,Dreamland Gran Canaria,DGC,Hiopos Lleida,HIO
16,Surne Bilbao Basket,SBB,La Laguna Tenerife,LLT
16,Recoletas Salud San Pablo Burgos,BUR,Barça,BAR
16,Joventut Badalona,JOV,Bàsquet Girona,GIR
16,Baskonia,BKN,BAXI Manresa,BAX
16,UCAM Murcia,UCM,Casademont Zaragoza,CAZ
16,Real Madrid,RMB,Valencia Basket,VBC
17,Casademont Zaragoza,CAZ,Bàsquet Girona,GIR
17,Río Breogán,BRE,Real Madrid,RMB
17,Hiopos Lleida,HIO,Recoletas Salud San Pablo Burgos,BUR
17,Coviran Granada,COV,Surne Bilbao Basket,SBB
17,BAXI Manresa,BAX,MoraBanc Andorra,MBA
17,Dreamland Gran Canaria,DGC,Valencia Basket,VBC
17,Baskonia,BKN,Joventut Badalona,JOV
17,Unicaja,UNI,UCAM Murcia,UCM
17,Barça,BAR,La Laguna Tenerife,LLT
18,Coviran Granada,COV,Río Breogán,BRE
18,MoraBanc Andorra,MBA,Dreamland Gran Canaria,DGC
18,Surne Bilbao Basket,SBB,Joventut Badalona,JOV
18,Bàsquet Girona,GIR,Recoletas Salud San Pablo Burgos,BUR
